"x"
"Waltheria indica"
"Ageratum conyzoides"
"Cyperus pectinatus"
"Commelina diffusa"
"Cyperus maculatus"
"Cyperus crassipes"
"Fuirena umbellata"
"Grangea maderaspatana"
"Megathyrsus maximus"
"Paspalum vaginatum"
"Phyla nodiflora"
"Pistia stratiotes"
"Scleria naumanniana"
"Vigna luteola"
"Sida acuta"
"Eleocharis geniculata"
"Pachycheles sahariensis"
"Glossobius hemiramphi"
