"id","kingdom","phylum","order","family","genus","species","Lon","Lat","year","month","day","datasetName","datasetId","datasetKey","photo","bibliographicCitation","speciesAccepted","authority","status"
3992,"Animalia","Chordata","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus dentatus","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Lutjanus dentatus","(Duméril, 1861)","accepted"
3993,"Animalia","Chordata","Eupercaria incertae sedis","Sparidae","Pagrus","Pagrus caeruleostictus","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Pagrus caeruleostictus","(Valenciennes, 1830)","accepted"
3994,"Animalia","Chordata","Eupercaria incertae sedis","Haemulidae","Pomadasys","Pomadasys jubelini","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Pomadasys jubelini","(Cuvier, 1830)","accepted"
3995,"Animalia","Chordata","Eupercaria incertae sedis","Haemulidae","Pomadasys","Pomadasys peroteti","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Pomadasys perotaei","(Cuvier, 1830)","unaccepted"
3996,"Animalia","Chordata","Scombriformes","Scombridae","Scomberomorus","Scomberomorus tritor","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Scomberomorus tritor","(Cuvier, 1832)","accepted"
3997,"Animalia","Chordata","Clupeiformes","Dorosomatidae","Ethmalosa","Ethmalosa fimbriata","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Ethmalosa fimbriata","(Bowdich, 1825)","accepted"
3998,"Animalia","Chordata","Clupeiformes","Dorosomatidae","Sardinella","Sardinella maderensis","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sardinella maderensis","(Lowe, 1838)","accepted"
3999,"Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna mokarran","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sphyrna mokarran","(Rüppell, 1837)","accepted"
4000,"Animalia","Chordata","Carangaria incertae sedis","Sphyraenidae","Sphyraena","Sphyraena afra","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sphyraena afra","Peters, 1844","accepted"
4001,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Dasyatis","Dasyatis margarita","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Fontitrygon margarita","(Günther, 1870)","unaccepted"
4002,"Animalia","Chordata","Perciformes","Serranidae","Epinephelus","Epinephelus aeneus","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Epinephelus aeneus","(Geoffroy Saint-Hilaire, 1817)","accepted"
4003,"Animalia","Chordata","Eupercaria incertae sedis","Lethrinidae","Lethrinus","Lethrinus atlanticus","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Lethrinus atlanticus","Valenciennes, 1830","accepted"
4004,"Animalia","Chordata","Eupercaria incertae sedis","Lutjanidae","Lutjanus","Lutjanus dentatus","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Lutjanus dentatus","(Duméril, 1861)","accepted"
4005,"Animalia","Chordata","Eupercaria incertae sedis","Sparidae","Pagrus","Pagrus caeruleostictus","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Pagrus caeruleostictus","(Valenciennes, 1830)","accepted"
4006,"Animalia","Chordata","Eupercaria incertae sedis","Haemulidae","Pomadasys","Pomadasys jubelini","-16.039458","11.359464","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Pomadasys jubelini","(Cuvier, 1830)","accepted"
